住所コード,市区町村名,大字名,字丁目名,街区,地番_戸番,建物名,階数,建物分類,総部屋数,目標物数,個人の家屋数,事業所数,空き部屋数,その他数,目標物比率,個人の家屋比率,事業所比率,空き部屋比率,その他比率,面積,延床面積,目標物総面積,目標物平均面積,個人の家屋総面積,個人の家屋平均面積,空き部屋総面積,空き部屋平均面積,事業所総面積,事業所平均面積,その他総面積,その他平均面積,飲食件数,物販_食品_件数,物販_衣料_件数,物販_日用雑貨_件数,サービス_レンタル_件数,サービス_冠婚葬祭_件数,サービス_生活関連_件数,サービス_自動車_件数,サービス_その他_件数,量販店件数,金融_保険件数,不動産件数,インフラ件数,専門職件数,スポーツ施設件数,娯楽件数,ホテル_旅館件数,医療_福祉件数,公共件数,教育件数,宅配_引越_郵便件数,運輸件数,建設_設備件数,自動車関連件数,協同組合件数,宗教関連件数,一般業件数,経度,緯度,部屋数推定フラグ,地域冷暖房フラグ,地域冷暖房計画区域
13102,中央区,銀座,６丁目,2,11,イルカルディナーレ銀座コリドー店クッチーナイタリア,13,3004,3,0,0,3,0,0,0,0,100,0,0,593.19,7711.47,0,0,0,0,0,0,7711.47,2570.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7605961,35.6714375,0,,
13102,中央区,銀座,６丁目,4,14,銀座ベルビューホテル,9,2017,2,0,0,2,0,0,0,0,100,0,0,111.49,1003.41,0,0,0,0,0,0,1003.41,501.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,139.7612222,35.6711503,0,,
13102,中央区,銀座,６丁目,4,7,Ｇ・Ｏ・Ｗｅｓｔｂｌｄｇ．,12,3001,12,0,0,12,0,0,0,0,100,0,0,86.58,1038.96,0,0,0,0,0,0,1038.96,86.58,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7614278,35.6711197,0,,
13102,中央区,銀座,６丁目,5,11,丸源第１５ビル,11,1002,30,0,0,6,22,2,0,0,20,73.33,6.67,107.45,1396.85,0,0,0,0,859.6,39.07,322.35,53.73,214.9,107.45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7616272,35.6707103,0,,
13102,中央区,銀座,６丁目,5,12,新堀ギタービル銀座,10,3003,14,0,1,13,0,0,0,7.14,92.86,0,0,95.97,1151.64,0,0,47.99,47.99,0,0,1103.66,84.9,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7616522,35.6707786,0,,
13102,中央区,銀座,６丁目,6,7,東京銀座朝日ビル,12,3004,17,0,0,15,0,2,0,0,88.24,0,11.76,1273.72,17832.08,0,0,0,0,0,0,15284.64,1018.98,2547.44,1273.72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7621969,35.6707628,0,,
13102,中央区,銀座,６丁目,8,7,交詢ビルディング,10,3001,27,0,0,22,0,5,0,0,81.48,0,18.52,1815.64,19972.04,0,0,0,0,0,0,10893.84,495.17,9078.2,1815.64,4,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7627803,35.6700944,0,,
13102,中央区,銀座,６丁目,9,6,銀座ヨシノヤ本店ビル,10,3004,13,0,0,13,0,0,0,0,100,0,0,106.36,1169.96,0,0,0,0,0,0,1169.96,90,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,139.7633642,35.6699583,0,,
13102,中央区,銀座,６丁目,10,1,ギンザシックス,13,3004,276,1,0,272,0,3,0.36,0,98.55,0,1.09,8260.4,165208,4130.2,4130.2,0,0,0,0,136296.6,501.09,24781.2,8260.4,8,1,13,5,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,139.7640481,35.6695739,0,1,銀座五・六丁目
13102,中央区,銀座,６丁目,12,12,ＳＡＫＵＲＡＭＡＲＫＳＧｉｎｚａ６１２,13,3004,14,0,0,12,0,2,0,0,85.71,0,14.29,114.19,1484.47,0,0,0,0,0,0,1256.09,104.67,228.38,114.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7642844,35.6689431,0,1,銀座五・六丁目
13102,中央区,銀座,６丁目,13,16,ヒューリック銀座ウォールビル,12,3003,52,1,0,32,17,2,1.92,0,61.54,32.69,3.85,954.76,14321.4,159.13,159.13,0,0,1707.96,100.47,11308.6,353.39,1145.71,572.86,0,0,0,0,0,0,0,0,0,1,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,139.7649114,35.6690372,0,1,銀座五・六丁目
13102,中央区,銀座,６丁目,14,10,コートヤード・マリオット銀座東武ホテル,11,2017,15,0,0,4,0,11,0,0,26.67,0,73.33,1358.25,16299,0,0,0,0,0,0,1358.25,339.56,14940.75,1358.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7649089,35.6684486,0,1,銀座五・六丁目
13102,中央区,銀座,６丁目,15,1,でんぱつビル,15,3004,2,0,0,2,0,0,0,0,100,0,0,1396.31,20944.65,0,0,0,0,0,0,20944.65,10472.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7662283,35.6682203,0,,
13102,中央区,銀座,６丁目,16,5,銀座さ可井小川ビル,7,3001,11,0,1,10,0,0,0,9.09,90.91,0,0,96.66,676.62,0,0,32.22,32.22,0,0,644.4,64.44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,139.7660525,35.6677178,0,,
