ID,住所コード,市区町村名,大字名,字丁目名,街区,地番_戸番,建物名,階数,建物分類,総部屋数,目標物数,個人の家屋数,事業所数,空き部屋数,その他数,目標物比率,個人の家屋比率,事業所比率,空き部屋比率,その他比率,面積,延床面積,目標物総面積,目標物平均面積,個人の家屋総面積,個人の家屋平均面積,空き部屋総面積,空き部屋平均面積,事業所総面積,事業所平均面積,その他総面積,その他平均面積,飲食件数,物販_食品_件数,物販_衣料_件数,物販_日用雑貨_件数,サービス_レンタル_件数,サービス_冠婚葬祭_件数,サービス_生活関連_件数,サービス_自動車_件数,サービス_その他_件数,量販店件数,金融_保険件数,不動産件数,インフラ件数,専門職件数,スポーツ施設件数,娯楽件数,ホテル_旅館件数,医療_福祉件数,公共件数,教育件数,宅配_引越_郵便件数,運輸件数,建設_設備件数,自動車関連件数,協同組合件数,宗教関連件数,一般業件数,経度,緯度,部屋数推定フラグ,地域冷暖房フラグ,地域冷暖房計画区域,is_target,building_usage,building_usage_detailed,by_google_map,floor_area,building_usage_detailed_sim,CL
3142,13102,中央区,新川,１丁目,1,6,（株）アイワット,6,3004,2,0,0,2,0,0,0,0,100,0,0,172.07,1032.42,0,0,0,0,0,0,1032.42,516.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7824664,35.6795097,0,,,TRUE,01_Office,Office,FALSE,1032.42,Office,CL4
3143,13102,中央区,新川,１丁目,1,7,リバーサイド茅場町,6,3003,9,0,0,7,2,0,0,0,77.78,22.22,0,121.14,726.84,0,0,0,0,242.28,121.14,484.56,69.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7823233,35.6795206,0,,,TRUE,01_Office,Office,FALSE,484.56,Office,CL2
3144,13102,中央区,新川,１丁目,1,3,トーソーサービス（株）,7,2027,1,0,0,1,0,0,0,0,100,0,0,123.8,866.6,0,0,0,0,0,0,866.6,866.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7829069,35.6792144,0,,,TRUE,01_Office,Office,FALSE,866.6,Office,CL3
3145,13102,中央区,新川,１丁目,1,1,,0,2001,2,0,0,2,0,0,0,0,100,0,0,21.9,43.8,0,0,0,0,0,0,43.8,21.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,139.7830092,35.6791086,1,,,TRUE,06_Restaurant,UrbanRestaurant,FALSE,43.8,UrbanRestaurant,
3146,13102,中央区,新川,１丁目,1,6,七映第一ビル,6,3004,8,0,0,7,0,1,0,0,87.5,0,12.5,104.93,629.58,0,0,0,0,0,0,524.65,74.95,104.93,104.93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,139.7825519,35.6794458,0,,,TRUE,01_Office,Office,FALSE,629.58,Office,CL3
3147,13102,中央区,新川,１丁目,1,3,飯田ビル,7,3004,7,0,0,6,0,1,0,0,85.71,0,14.29,70.52,493.64,0,0,0,0,0,0,423.12,70.52,70.52,70.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7829775,35.6791669,0,,,TRUE,01_Office,Office,FALSE,493.64,Office,CL2
3148,13102,中央区,新川,１丁目,1,5,日本通運関東美術品支店茅場町ビル,6,2027,1,0,0,1,0,0,0,0,100,0,0,428.61,2571.66,0,0,0,0,0,0,2571.66,2571.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.782725,35.6793322,0,,,TRUE,01_Office,Office,FALSE,2571.66,Office,CL5
3149,13102,中央区,新川,１丁目,1,7,ＧＥＭＳ茅場町,10,3004,19,0,0,19,0,0,0,0,100,0,0,278.32,2783.2,0,0,0,0,0,0,2783.2,146.48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,139.7821764,35.6793839,0,,,TRUE,01_Office,Office,FALSE,2783.2,Office,CL5
3150,13102,中央区,新川,１丁目,2,14,,5,2001,1,0,0,1,0,0,0,0,100,0,0,47.59,237.95,0,0,0,0,0,0,237.95,237.95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7821975,35.6791608,1,,,TRUE,01_Office,Office,FALSE,237.95,Office,CL2
3151,13102,中央区,新川,１丁目,2,5,パールホテル茅場町,10,2017,2,0,0,2,0,0,0,0,100,0,0,906.58,9065.8,0,0,0,0,0,0,9065.8,4532.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,139.7827019,35.6790536,0,,,TRUE,02_Hotel,Hotel,FALSE,9065.8,Hotel,CL6
3152,13102,中央区,新川,１丁目,2,14,新川一丁目ビル,8,3003,22,0,0,14,5,3,0,0,63.64,22.73,13.64,239.41,2633.51,0,0,0,0,249.39,49.88,1665.89,118.99,718.23,239.41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7823753,35.6792764,0,,,TRUE,01_Office,Office,FALSE,2384.12,Office,CL5
3153,13102,中央区,新川,１丁目,2,14,新川一丁目北町会事務所,0,2027,1,0,0,1,0,0,0,0,100,0,0,17.8,35.6,0,0,0,0,0,0,35.6,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7824522,35.6792269,0,,,TRUE,01_Office,Office,FALSE,35.6,Office,CL1
3154,13102,中央区,新川,１丁目,2,10,新川むさしやビル,10,3004,13,0,0,10,0,3,0,0,76.92,0,23.08,173.37,1907.07,0,0,0,0,0,0,1386.96,138.7,520.11,173.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,139.7825342,35.6789106,0,,,TRUE,01_Office,Office,FALSE,1907.07,Office,CL4
3155,13102,中央区,新川,１丁目,2,2,ＧＣ茅場町ビル,6,3004,7,0,0,4,0,3,0,0,57.14,0,42.86,58.7,410.9,0,0,0,0,0,0,234.8,58.7,176.1,58.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,139.7825289,35.6792547,0,,,TRUE,04_Retail,SpecialityShop_or_HousingClothingSuper,FALSE,410.9,HousingClothingSuper,
3156,13102,中央区,新川,１丁目,2,,大榮稲荷神社,0,2026,1,1,0,0,0,0,100,0,0,0,0,14.41,28.82,28.82,28.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7825014,35.6791911,0,,,FALSE,,,FALSE,28.82,,
3157,13102,中央区,新川,１丁目,2,10,鹿島ビル,4,3001,4,0,2,2,0,0,0,50,50,0,0,55.84,223.36,0,0,111.68,55.84,0,0,111.68,55.84,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7824067,35.6789539,0,,,TRUE,01_Office,Office,FALSE,111.68,Office,CL1
3158,13102,中央区,新川,１丁目,2,7,田川堂,0,1008,2,0,1,1,0,0,0,50,50,0,0,99.02,198.04,0,0,99.02,99.02,0,0,99.02,99.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7826756,35.67888,0,,,TRUE,01_Office,Office,FALSE,99.02,Office,CL1
3159,13102,中央区,新川,１丁目,2,8,５山京ビル,10,3003,13,0,0,11,2,0,0,0,84.62,15.38,0,108.04,1080.4,0,0,0,0,216.08,108.04,864.32,78.57,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,139.782615,35.678835,0,,,TRUE,04_Retail,SpecialityShop_or_HousingClothingSuper,FALSE,864.32,HousingClothingSuper,
